Number,Title,Overview,Genres
1797,Lost in Space,prospect continue life earth year grim robinsons launch space colonize alpha prime inhabitable planet galaxy stowaway sabotage mission robinsons find hurtle uncharted space,Adventure
1798,"Dude, Where's My Car?",jesse chester two bumble stoners wake one morning night party cannot remember park car encounter variety people look include angry girlfriends angry street gang transexual stripper cult alien seek fanatics alien human form look mystical device could save destroy world,Comedy
1799,Fist of Fury,chen zhen return international compound china learn beloved teacher death compound continual racist harassment japanese population area unlike friends confront head mastery martial arts investigate teacher murder,Action
1800,I Want You,sequel three step heaven sexy gin new love hache forget former girlfriend love triangle inevitable,Thriller
1801,Point Break,coastal town los angeles gang bank robbers call ex presidents commit crimes wear mask reagan carter nixon johnson believe members gang could surfers send young agent johnny utah undercover beach mix surfers gather information,Action
1802,Scary Movie 3,third installment scary movie franchise news anchorwoman cindy campbell investigate mysterious crop circle kill video tap help president stop alien invasion process,Comedy
1803,The Book of Life,journey manolo young man tear fulfil expectations family follow heart choose path follow embark incredible adventure span three fantastical worlds must face greatest fear,Romance
1804,American Reunion,character meet little decade ago return east great fall high school reunion one long overdue weekend discover change time distance break bond friendship,Comedy
1805,Serpico,real life struggle honest new york city cop corrupt system,Crime
1806,Little Nicky,lord darkness decide cede throne three sons two powerful escape earth create kingdom action close portal filter sinful souls hell cause satan wither away must send weak beloved son little nicky earth return brothers hell,Comedy
1807,Colombiana,zoe saldana play young woman witness parent murder child bogota grow stone cold assassin work uncle hitman day personal time spend engage vigilante murder hop lead ultimate target mobster responsible parent death,Action
1808,Starsky & Hutch,join uptight david starsky lay back ken hutch hutchinson pair first time undercover cop new partner must overcome differences solve important case help street informant huggy bear persuasive criminal reese feldman,Comedy
1809,The Kid,story young boy witness billy kid encounter sheriff pat garrett,Comedy
1810,Vice,julian michaels design ultimate resort vice anything go customers play wildest fantasy artificial inhabitants look think feel like humans artificial become self aware escape find catch crossfire julian mercenaries cop hell bend shut vice stop violence,Drama
1811,Stan & Ollie,golden era long behind comedy duo stan laurel oliver hardy embark variety hall tour britain ireland despite pressure hectic schedule support wive lucille ida formidable double act right pair love perform well endure secure place hearts adore public,Comedy
1812,Dragon Ball Z: The Tree of Might,saiyan name turles come earth order plant tree destroy planet give infinite strength son goku warriors cannot let happen duke invaders sake planet,Action
1813,Stalked by My Doctor,teenage girl miraculously save heart surgeon doctor begin flirt father believe unbeknownst doctor obsess girl,Thriller
1814,Skiptrace,detective hong kong team american gambler battle notorious chinese criminal,Action
1815,Mud,two boys find fugitive hide island mississippi river form pact help reunite lover escape,Drama
1816,Anon,set near future world privacy ignorance anonymity private memories record crime almost cease exist try solve series unsolved murder sal frieland stumble onto young woman appear subvert system disappear identity history record sal realize may end crime begin know girl sal must find become next victim,Science Fiction
1817,Spotlight,editor marty baron boston globe assign team journalists investigate allegations john geoghan unfrock priest accuse molest boys lead editor walter robby robinson reporters michael rezendes matt carroll sacha pfeiffer interview victims try unseal sensitive document reporters make mission provide proof cover sexual abuse within roman catholic church,Drama
1818,Night at the Museum: Battle of the Smithsonian,hapless museum night watchman larry daley must help live breathe exhibit friends pickle transfer archive smithsonian institution larry mis adventure time include close encounter amelia earhart abe lincoln ivan terrible,Adventure
